"column1","url","title","organisation","rating","Rating Count","enrollments","Mode","Level","duration","Language","subtitles","price","Course Package","Course Projects"
0,https://www.coursera.org/learn/-network-security,Network Security,(ISC)²,"4.8","44 ","3,704","100% online",Beginner Level,Approx. 8 hours to complete,English, English,4001,-,-
1,https://www.coursera.org/learn/-security-principles,Security Principles,(ISC)²,"4.7","94 ","6,437","100% online",Beginner Level,Approx. 5 hours to complete,English, English,4001,-,-
2,https://www.coursera.org/learn/10k-women-1,"Grow Your Business with Goldman Sachs 10,000 Women",Goldman Sachs,"4.8","754 ","45,022","100% online",NA,Approx. 3 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",0,-,Coursera Labs
3,https://www.coursera.org/learn/10k-women-1-hi,"Goldman Sachs 10,000 Women के साथ, अपने व्यवसाय की वृद्धि करें",Goldman Sachs,NA,NA,"222,682","100% online",NA,Approx. 3 hours to complete,Hindi, Hindi,0,-,Coursera Labs
4,https://www.coursera.org/learn/10k-women-10,"Fundamentals of Negotiation, with Goldman Sachs 10,000 Women",Goldman Sachs,"4.7","358 ","17,576","100% online",NA,Approx. 3 hours to complete,English," French, Portuguese (European), Russian, English, Spanish",0,-,Coursera Labs
5,https://www.coursera.org/learn/10k-women-10-hi,"Goldman Sachs 10,000 Women के साथ, सन्धिकरण के मूल सिद्धांत",Goldman Sachs,NA,NA,"222,682","100% online",NA,Approx. 3 hours to complete,Hindi," French, Portuguese (European), Russian, Spanish, Hindi",0,-,Coursera Labs
6,https://www.coursera.org/learn/10k-women-2,"Fundamentals of Business Finance, with Goldman Sachs 10,000 Women",Goldman Sachs,"4.7","762 ","35,452","100% online",NA,Approx. 3 hours to complete,English," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",0,-,Coursera Labs
7,https://www.coursera.org/learn/10k-women-2-hi,"Goldman Sachs 10,000 Women के साथ, व्यावसायिक वित्त के मूल सिद्धांत",Goldman Sachs,NA,NA,"222,682","100% online",NA,Approx. 3 hours to complete,Hindi," Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish, Hindi",0,-,Coursera Labs
8,https://www.coursera.org/learn/10k-women-3,"Fundamentals of Leadership, with Goldman Sachs 10,000 Women",Goldman Sachs,"4.7","465 ","20,783","100% online",NA,Approx. 3 hours to complete,English," French, Portuguese (European), Russian, English, Spanish",0,-,Coursera Labs
9,https://www.coursera.org/learn/10k-women-3-hi,"Goldman Sachs 10,000 Women के साथ, नेतृत्व के मूल सिद्धांत",Goldman Sachs,NA,NA,"222,682","100% online",NA,Approx. 3 hours to complete,Hindi," French, Portuguese (European), Russian, Spanish, Hindi",0,-,Coursera Labs
