"url","title","projects","enrollments","Level","duration","instructor","Related Skills","rating"
https://www.skillshare.com/en/classes/%2AUPDATED%2A-JavaScript-Complete-Series-2023-Part-10-Arrays-and-Loops/1119791415,*UPDATED* JavaScript Complete Series 2023 - Part 10: Arrays and Loops,0,43,All levels,"10 Lessons (1h 1m)","CM Code_Zone, !false | funny, because its true","Technology,Web Development,Website Design,Javascript,App Development,Website,Coding",5.0
https://www.skillshare.com/en/classes/%2AUPDATED%2A-JavaScript-Complete-Series-2023-Part-12-JavaScript-Functions/1428341701,*UPDATED* JavaScript Complete Series 2023 - Part 12: JavaScript Functions,0,71,All levels,"19 Lessons (1h 42m)","CM Code_Zone, !false | funny, because its true","Technology,Web Development,Mobile Development,Javascript,Hard News Reporting,App Development,Coding",5.0
https://www.skillshare.com/en/classes/%2AUPDATED%2A-JavaScript-Complete-Series-2023-Part-6-JavaScript-Alerts-Dialog-boxes-and-more/117058023,"*UPDATED* JavaScript Complete Series 2023 - Part 6: JavaScript Alerts, Dialog boxes, and more",0,35,All levels,"6 Lessons (28m)","CM Code_Zone, !false | funny, because its true","Technology,Web Development,Website Design,Javascript,App Development,Coding,Window Boxes",5.0
https://www.skillshare.com/en/classes/%2AUPDATED%2A-JavaScript-Complete-Series-2023-Part-7-JavaScript-Variables/1093477444,*UPDATED* JavaScript Complete Series 2023 - Part 7: JavaScript Variables,0,36,All levels,"13 Lessons (50m)","CM Code_Zone, !false | funny, because its true","Technology,Web Development,Javascript,Node.Js,Coding,Variables,Simple Dialogs",5.0
https://www.skillshare.com/en/classes/%2AUPDATED%2A-JavaScript-Complete-Series-2023-Part-8-Dates-working-with-dates-in-JavaScript/726305085,*UPDATED* JavaScript Complete Series 2023 - Part 8: Dates - working with dates in JavaScript,0,44,All levels,"7 Lessons (30m)","CM Code_Zone, !false | funny, because its true","Technology,Web Development,Javascript,App Development,Coding",5.0
https://www.skillshare.com/en/classes/%2AUPDATED%2A-JavaScript-Complete-Series-2023-Part-9-Objects-working-with-Objects-in-JavaScript/632921813,*UPDATED* JavaScript Complete Series 2023 - Part 9: Objects - working with Objects in JavaScript,0,71,All levels,"23 Lessons (1h 25m)","CM Code_Zone, !false | funny, because its true","Technology,Web Development,Javascript,Website,Coding,Motorbike,Object Programming",4.75
https://www.skillshare.com/en/classes/%E2%9C%85-Scale-Your-Business-with-Facebook-Ads-Learnings-from-spending-150-Million/127067377,✅ Scale Your Business with Facebook Ads. Learnings from spending $150 Million.,0,7743,Intermediate level,"12 Lessons (1h 40m)","Jack Paxton, Growth Marketer","Marketing,Business,Ecommerce,Facebook,Social Media Marketing,Lead Generation,Facebook Advertising",3.97
https://www.skillshare.com/en/classes/10-Day-Art-Holiday-Lets-Create-a-Fall-themed-Travel-Journal/305955381,"10 Day Art Holiday - Let's Create a Fall themed Travel Journal",73,849,All levels,"19 Lessons (7h 54m)","Zaneena Nabeel, Top Teacher | Artist","Painting,Fine Art,Landscape Painting,Creative,Watercolor Painting,Travel,Sketchbook",4.85
https://www.skillshare.com/en/classes/10-Design-Principles-to-Create-Impactful-Presentations/1297495562,"10 Design Principles to Create Impactful Presentations",1,395,All levels,"12 Lessons (54m)","Julian Wiskemann, Freelance & Sustainable Vending Machines","Marketing,Business,Presentation Design,Communication,Visual Communication,Productivity,Presentations",4.86
https://www.skillshare.com/en/classes/10-Hour-Acting-Masterclass/530103799,"10 Hour Acting Masterclass",0,5573,All levels,"32 Lessons (10h 13m)","Academy Classes, Academy Owner","Fine Art,Film Production,Public Speaking,Acting,Creative,Harvard,Home Work",4.26
https://www.skillshare.com/en/classes/10-Minute-DIY-Pocket-NotebookPlanner/528391036,"10-Minute DIY Pocket Notebook/Planner",1,2780,Beginner level,"16 Lessons (31m)","Kate Chystykova, Craft Addicted","Crafts,Lifestyle,Journalism,Book Binding,Journaling,Purse,DIY Pill Pockets",3.85
https://www.skillshare.com/en/classes/10-Photoshop-Tips-for-Surface-Designers/597564310,"10 Photoshop Tips for Surface Designers",34,2868,Intermediate level,"12 Lessons (1h 17m)","Mel Armstrong, Illustrator, Pattern Addict & Teacher","Illustration,Digital Illustration,Pattern Design,Adobe Photoshop,Surface Pattern Design,Creative,Digital Art",4.52
https://www.skillshare.com/en/classes/10-Procreate-Quick-Tips-for-Artists-Illustrators/795052282,"10 Procreate Quick Tips for Artists & Illustrators",14,2006,Beginner level,"13 Lessons (46m)","Stephanie Fizer Coleman, children's book illustrator/bird artist","Art,Illustration,Digital Illustration,Ipad,Creative,Digital Painting,Digital Art",4.41
https://www.skillshare.com/en/classes/10-Quick-Tips-From-A-Pro-Designer/1585473379,"10 Quick Tips From A Pro Designer",0,1677,All levels,"4 Lessons (11m)","Lindsay Marsh, Over 300,000 Design Students & Counting!","Logo Design,Typography,Layout Design,Graphic Design,Creative,Freelance & Entrepreneurship,Design Skills",4.31
https://www.skillshare.com/en/classes/10-Steps-to-Boosting-Your-Artwork-to-the-Next-Level/1843576893,"10 Steps to Boosting Your Artwork to the Next Level",1,2315,All levels,"11 Lessons (50m)","Brad Woodard, Illustrator + Graphic Designer","Art,Illustration,Creative",4.49
https://www.skillshare.com/en/classes/10-Tips-For-10x-Faster-Color-Grading-Workflow-in-DaVinci-Resolve/331958475,"10 Tips For 10x Faster Color Grading Workflow in DaVinci Resolve",0,536,Intermediate level,"13 Lessons (58m)","Adam Chraibi, Designer and animator","Film & Video,Cinematography,Videography,Video Editing,Creative,Color Grading,Color Correction",5.0
https://www.skillshare.com/en/classes/10-Types-of-Watercolor-Flowers-Explore-and-Paint-Step-by-Step/1967208790,"10 Types of Watercolor Flowers - Explore and Paint Step by Step",14,2379,All levels,"10 Lessons (1h 5m)","Pooja Kenjale-Umrani, Watercolor Artist","Art,Illustration,Watercolors,Fine Art,Creative,Floral",4.61
https://www.skillshare.com/en/classes/10-Types-of-Watercolor-Mushrooms-Lets-demystify-and-explore-the-world-of-mushrooms/235862613,"10 Types of Watercolor Mushrooms - Let's demystify and explore the world of mushrooms!",55,1491,All levels,"22 Lessons (3h 26m)","Pooja Kenjale-Umrani, Watercolor Artist","Illustration,Watercolors,Fine Art,Gouache,Creative,Watercolor Painting,Doodling",4.68
https://www.skillshare.com/en/classes/10-Ways-to-Grow-Your-Organic-Instagram-Presence-without-Ads/1110650195,"10 Ways to Grow Your Organic Instagram Presence (without Ads!)",0,1663,Beginner level,"11 Lessons (44m)","Diego Davila, Entrepreneur and Social Media Innovator","Marketing,Business,Digital Marketing,Online Marketing,Social Media Marketing,Instagram,Small Business Marketing",3.86
https://www.skillshare.com/en/classes/10-Ways-to-Make-Better-Patterns/611232406,"10 Ways to Make Better Patterns",19,3565,All levels,"7 Lessons (18m)","Liz Kohler Brown, artist | designer | teacher | author","Pattern Design,Graphic Design,Surface Pattern,Surface Pattern Design,Creative,Surface Design,Repeat Pattern",4.57
https://www.skillshare.com/en/classes/10-tipstricks-I-wish-I-knew-before-I-started-making-music-FL-Studio/1614417174,"10 tips/tricks I wish I knew before I started making music - FL Studio",0,345,Beginner level,"11 Lessons (19m)","Mr. Belt & Wezol, DJ/producer duo from the Netherlands","Music,Mastering,Music Industry,Singing,Music Business,Creative,Songwriting",4.06
https://www.skillshare.com/en/classes/100-Day-Project-with-Watercolours-Practice-Your-Way-Into-an-Expert/672772441,"100 Day Project with Watercolours - Practice Your Way Into an Expert",153,3863,All levels,"122 Lessons (1d 22h 46m)","Geethu Chandramohan, Colourfulmystique - Top Teacher, Artist","Illustration,Color Theory,Watercolors,Drawing,Painting,Fine Art,Watercolor",4.83
https://www.skillshare.com/en/classes/100-Day-Watercolor-Challenge-5-Minute-Paintings-Build-a-Creative-Habit/1377659283,"100 Day Watercolor Challenge - 5 Minute Paintings - Build a Creative Habit",163,8700,All levels,"125 Lessons (8h 21m)","Irina Trzaskos, Watercolor Artist & Illustrator","Watercolors,Fine Art,Watercolor,Creative,Watercolor Painting,Creativity,Sketchbook",4.61
https://www.skillshare.com/en/classes/100-Days-of-Watercolour-Paradise-Build-Your-Painting-Habit-in-Style/1678713806,"100 Days of Watercolour Paradise: Build Your Painting Habit in Style",102,1689,All levels,"107 Lessons (1d 23h 25m)","Geethu Chandramohan, Colourfulmystique - Top Teacher, Artist","Illustration,Watercolors,Painting,Fine Art,Landscape Painting,Watercolor,Creative",4.85
https://www.skillshare.com/en/classes/100-English-Idioms-With-100-Comprehension-Quizzes-English-Vocabulary-Phrases-Grammar/1645228412,"100+ English Idioms With 100+ Comprehension Quizzes | English Vocabulary, Phrases, Grammar",0,126,Intermediate level,"207 Lessons (5h 48m)","Able Lingo ASL, American Sign Language (ASL)","Lifestyle,Communication,English,Learn English,Languages,English Language,Comprehension",5.0
https://www.skillshare.com/en/classes/101-Guide-to-Picture-Books/968083259,"101 Guide to Picture Books",2,4837,Beginner level,"5 Lessons (19m)","Nina Rycroft, Picture Book Illustrator","Art,Illustration,Visual Storytelling,Publishing,Character Design,Creative Writing,Creative",3.99
https://www.skillshare.com/en/classes/10x-Marketing-Content-Marketing-That-Stands-Out-Gets-Results-Learn-with-CoSchedule/392032390,"10x Marketing: Content Marketing That Stands Out & Gets Results | Learn with CoSchedule",0,10862,Beginner level,"6 Lessons (31m)","Garrett Moon, CoSchedule CEO & Co-Founder","Marketing,Business,Standees,Digital Strategy,Content Marketing,Content Strategy,Business Skills",3.61
https://www.skillshare.com/en/classes/11-Expressions-for-Animation-Efficiency-in-Adobe-After-Effects/451087798,"11 Expressions for Animation Efficiency in Adobe After Effects",3,1647,Intermediate level,"15 Lessons (1h 14m)","Megan Friesth, Motion Designer","Animation,Motion Graphics,Javascript,Adobe After Effects,Creative,Motion Design,2d Animation",4.79
https://www.skillshare.com/en/classes/12-Day-Art-Challenge-Create-An-Illustrated-Calendar-in-Procreate/1940954323,"12 Day Art Challenge: Create An Illustrated Calendar in Procreate",12,2658,Intermediate level,"8 Lessons (33m)","Stacie Bloomfield, Creative Powerhouse","Illustration,Digital Illustration,Story Art,Creative,Calendar,Digital Drawing,IPad Pro",4.5
