column1,enrollments,h1,institution,language,level,pace,price,subject,time_duration,url,video_transcript
0,"49,203",Financial Accounting,MITx,English,Advanced,Instructor-paced - Instructor led on a course schedule,37106,Economics & Finance,12 weeks - 10–14 hours per week,https://www.edx.org/course/finance-accounting?index=product&queryID=4eaec293abba115c27156fd47c170644&position=1&results_level=second-level-results&search_index=product&term=&campaign=Financial+Accounting&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
1,"52,395",Early Childhood Development: Global Strategies for Implementation,HarvardX,English,Introductory,Self-paced - Progress at your own speed,8163,Education & Teacher Training,7 weeks - 1–3 hours per week,https://www.edx.org/course/early-childhood-development-global-strategies-for-implementation?index=product&queryID=4eaec293abba115c27156fd47c170644&position=2&results_level=second-level-results&search_index=product&term=&campaign=Early+Childhood+Development%3A+Global+Strategies+for+Implementation&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
2,"17,639",Data Structures & Algorithms Using  C++,IBM,English,Intermediate,Self-paced - Progress at your own speed,12286,Computer Science,8 weeks - 3–4 hours per week,https://www.edx.org/course/data-structures-algorithms-using-c?index=product&queryID=4eaec293abba115c27156fd47c170644&position=3&results_level=second-level-results&search_index=product&term=&campaign=Data+Structures+%26+Algorithms+Using++C%2B%2B&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
3,"2,06,135",Introduction to Biology - The Secret of Life,MITx,English,Introductory,Instructor-paced - Instructor led on a course schedule,12369,Biology & Life Sciences,16 weeks - 5–10 hours per week,https://www.edx.org/course/introduction-to-biology-the-secret-of-life-3?index=product&queryID=4eaec293abba115c27156fd47c170644&position=4&results_level=second-level-results&search_index=product&term=&campaign=Introduction+to+Biology+-+The+Secret+of+Life&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch," English, 中文"
4,"1,62,533",Programación para todos (empezando con Python),MichiganX,Español,Introductory,Self-paced - Progress at your own speed,4040,Computer Science,7 weeks - 2–4 hours per week,https://www.edx.org/course/programacion-para-todos-empezando-con-python?index=product&queryID=4eaec293abba115c27156fd47c170644&position=5&results_level=second-level-results&search_index=product&term=&campaign=Programaci%C3%B3n+para+todos+%28empezando+con+Python%29&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
5,"1,09,449",Circuits and Electronics 1: Basic Circuit Analysis,MITx,English,Introductory,Self-paced - Progress at your own speed,13935,Electronics,5 weeks - 5–7 hours per week,https://www.edx.org/course/circuits-and-electronics-1-basic-circuit-analysi-2?index=product&queryID=4eaec293abba115c27156fd47c170644&position=6&results_level=second-level-results&search_index=product&term=&campaign=Circuits+and+Electronics+1%3A+Basic+Circuit+Analysis&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch," English, 中文"
6,"19,579",The Psychology of Emotions: An Introduction to Embodied Cognition,UniversityofCambridge,English,Intermediate,Self-paced - Progress at your own speed,16409,Biology & Life Sciences,5 weeks - 2–5 hours per week,https://www.edx.org/course/introduction-to-emotional-and-social-embodied-cognition?index=product&queryID=4eaec293abba115c27156fd47c170644&position=7&results_level=second-level-results&search_index=product&term=&campaign=The+Psychology+of+Emotions%3A+An+Introduction+to+Embodied+Cognition&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
7,"24,520",Introduction to SQL,IBM,English,Introductory,Self-paced - Progress at your own speed,8163,Computer Science,5 weeks - 2–4 hours per week,https://www.edx.org/course/introduction-to-sql-2?index=product&queryID=4eaec293abba115c27156fd47c170644&position=8&results_level=second-level-results&search_index=product&term=&campaign=Introduction+to+SQL&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,NA
8,"27,387",Arabic for non-Arabic Speakers,QUx,English,Introductory,Self-paced - Progress at your own speed,2390,Language,5 weeks - 5–8 hours per week,https://www.edx.org/course/arabic-for-non-arabic-speakers?index=product&queryID=4eaec293abba115c27156fd47c170644&position=9&results_level=second-level-results&search_index=product&term=&campaign=Arabic+for+non-Arabic+Speakers&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch," اَلْعَرَبِيَّةُ, English"
9,"24,634",R Programming Fundamentals,StanfordOnline,English,Introductory,Self-paced - Progress at your own speed,6514,Computer Science,6 weeks - 2–3 hours per week,https://www.edx.org/course/r-programming-fundamentals?index=product&queryID=4eaec293abba115c27156fd47c170644&position=10&results_level=second-level-results&search_index=product&term=&campaign=R+Programming+Fundamentals&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
